"","week","weekday","datetime","awayteam"
"1","1604","Open","null","GRB"
"2","1604","Open","null","PHI"
"3","1605","Open","null","KAC"
"4","1605","Open","null","NEO"
"5","1605","Open","null","SEA"
"6","1605","Open","null","JAC"
"7","1606","Open","null","MIN"
"8","1606","Open","null","TAB"
"9","1607","Open","null","DAL"
"10","1607","Open","null","CAR"
"11","1608","Open","null","LOA"
"12","1608","Open","null","MIA"
"13","1608","Open","null","NYG"
"14","1608","Open","null","PIT"
"15","1608","Open","null","SAF"
"16","1608","Open","null","BAL"
"17","1609","Open","null","CHI"
"18","1609","Open","null","CIN"
"19","1609","Open","null","NEE"
"20","1609","Open","null","ARI"
"21","1609","Open","null","WAS"
"22","1609","Open","null","HOU"
"23","1610","Open","null","BUF"
"24","1610","Open","null","DET"
"25","1610","Open","null","IND"
"26","1610","Open","null","OAK"
"27","1611","Open","null","ATL"
"28","1611","Open","null","DEN"
"29","1611","Open","null","NYJ"
"30","1611","Open","null","SAD"
"31","1613","Open","null","CLE"
"32","1613","Open","null","TEN"
